"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모",
"760","관광펜션업","03_11_02_P","5530000","CDFI3261092018000002","2018-04-24","","01","영업/정상","13","영업중","","","","","031-357-3717","","","경기도 화성시 서신면 제부리 96","경기도 화성시 서신면 해안길178번길 40","18553","좋은이웃펜션","2021-12-20 16:13:29","U","2021-12-22 02:40:00","","166204.971154148","407160.240538658","관광펜션업","","","2","","","현대해상화재보험","","2","0","0","0","","","0","0","","0","0","","0","238.28","","0","","","","","","","0","","","","238",
"761","관광펜션업","03_11_02_P","5530000","CDFI3261092018000003","2018-04-26","","01","영업/정상","13","영업중","","","","","031-355-3399","","","경기도 화성시 서신면 제부리 102","경기도 화성시 서신면 해안길178번길 50","18553","애플펜션","2022-02-21 09:40:51","U","2022-02-23 02:40:00","","166190.61564341","407249.041117098","관광펜션업","","","2","","","농협손해보험주식회사","","2","0","0","0","","","0","0","","0","0","","0","394.56","","0","","","","","","","0","","","","395",
"762","관광펜션업","03_11_02_P","5530000","CDFI3261092018000004","2018-06-14","","01","영업/정상","13","영업중","","","","","","","","경기도 화성시 서신면 제부리 190-191","경기도 화성시 서신면 해안길 272","18553","휴콘도","2021-12-20 16:14:28","U","2021-12-22 02:40:00","","166104.260439886","407180.300569373","관광펜션업","","","3","","","농협손해보험주식회사","","0","0","0","0","","","0","0","","0","0","","0","534.33","","0","","","","","","","0","","","","534",
"763","관광펜션업","03_11_02_P","5530000","CDFI3261092018000005","2018-07-09","","01","영업/정상","13","영업중","","","","","031-355-0593","","","경기도 화성시 서신면 제부리 190-101","경기도 화성시 서신면 해안길 246-10","18553","블루하우스","2021-12-20 16:15:03","U","2021-12-22 02:40:00","","166152.435380321","406895.843925501","관광펜션업","","","4","","","삼성화재","","4","0","0","0","","","0","0","","0","0","","0","344.7","","0","","","","","","","0","","","","345",
"764","관광펜션업","03_11_02_P","5530000","CDFI3261092018000007","2018-10-04","","01","영업/정상","13","영업중","","","","","","","","경기도 화성시 서신면 제부리 288-106","경기도 화성시 서신면 해안길 391","18553","오브레펜션(카사)","2023-01-12 10:50:31","U","2023-01-14 02:40:00","","166265.780988114","408244.333753446","관광펜션업","","","2","","","현대해상책임보험","","0","0","0","0","","","0","0","","0","0","","0","668.02","","0","","","","","","","0","","","","668",
"765","관광펜션업","03_11_02_P","5530000","CDFI3261092018000011","2018-10-18","","01","영업/정상","13","영업중","","","","","","","","경기도 화성시 서신면 제부리 42-7","경기도 화성시 서신면 해안길 144","18553","바다향기펜션","2021-12-20 16:18:48","U","2021-12-22 02:40:00","","166502.943513569","407035.413476916","관광펜션업","","","3","","","농협손해보험주식회사","","0","0","0","0","","","0","0","","0","0","","0","479.03","","0","","","","","","","0","","","","479",
"766","관광펜션업","03_11_02_P","5530000","CDFI3261092018000012","2018-11-23","","01","영업/정상","13","영업중","","","","","","","","경기도 화성시 서신면 제부리 120","경기도 화성시 서신면 해안길178번길 70-12, 1, 2동","18553","인디고펜션","2021-12-20 16:19:17","U","2021-12-22 02:40:00","","166243.366238974","407388.282408714","관광펜션업","","","2","","","현대해상화재보험","","0","0","0","0","","","0","0","","0","0","","0","300.03","","0","","","","","","","0","","","","300",
"767","관광펜션업","03_11_02_P","5530000","CDFI3261092018000013","2018-11-23","","01","영업/정상","13","영업중","","","","","","","","경기도 화성시 서신면 제부리 270-6","경기도 화성시 서신면 해안길 381, B동 1층","18553","프리마베라펜션","2021-12-20 16:19:57","U","2021-12-22 02:40:00","","166212.521312901","408170.107073725","관광펜션업","","","1","","","농협손해보험주식회사","","0","0","0","0","","","0","0","","0","0","","0","82.65","","0","","","","","","","0","","","","83",
"768","관광펜션업","03_11_02_P","5530000","CDFI3261092018000014","2018-11-26","","01","영업/정상","13","영업중","","","","","","","","경기도 화성시 서신면 제부리 190-81","경기도 화성시 서신면 해안길178번길 57","18553","작은섬 2","2021-12-20 16:20:33","U","2021-12-22 02:40:00","","166111.897796238","407316.862660242","관광펜션업","","","1","","","삼성화재","","0","0","0","0","","","0","0","","0","0","","0","126.36","","0","","","","","","","0","","","","126",
"769","관광펜션업","03_11_02_P","5530000","CDFI3261092018000015","2018-11-26","","01","영업/정상","13","영업중","","","","","","","","경기도 화성시 서신면 제부리 190-81","경기도 화성시 서신면 해안길178번길 57","18553","작은섬 1","2021-12-20 16:21:05","U","2021-12-22 02:40:00","","166111.897796238","407316.862660242","관광펜션업","","","1","","","삼성화재","","0","0","0","0","","","0","0","","0","0","","0","87.12","","0","","","","","","","0","","","","87",
"770","관광펜션업","03_11_02_P","5530000","CDFI3261092018000016","2018-12-18","","01","영업/정상","13","영업중","","","","","","","","경기도 화성시 서신면 제부리 10-2","경기도 화성시 서신면 해안길442번길 52, 1층","18553","솔잎펜션 2","2021-12-20 16:23:44","U","2021-12-22 02:40:00","","166779.064558007","408016.522188049","관광펜션업","","","2","","","KB손해보험","","0","0","0","0","","","0","0","","0","0","","0","262.08","","0","","","","","","","0","","","","262",
"771","관광펜션업","03_11_02_P","5530000","CDFI3261092018000017","2018-12-18","","01","영업/정상","13","영업중","","","","","","","","경기도 화성시 서신면 제부리 10-25","경기도 화성시 서신면 해안길442번길 46","18553","솔잎펜션 1","2021-12-20 16:24:09","U","2021-12-22 02:40:00","","166756.374161443","407990.230203756","관광펜션업","","","2","","","KB손해보험","","0","0","0","0","","","0","0","","0","0","","0","291.14","","0","","","","","","","0","","","","291",
"772","관광펜션업","03_11_02_P","5530000","CDFI3261092019000001","2019-02-14","","01","영업/정상","13","영업중","","","","","","","","경기도 화성시 서신면 제부리 40-14","경기도 화성시 서신면 해안길 114, 1동 1, 2, 3층","18553","디앤와이펜션","2021-12-20 16:22:02","U","2021-12-22 02:40:00","","166723.871318096","407258.931654978","관광펜션업","","","3","","","메리츠화재해상보험주식회사","","0","0","0","0","","","0","0","","0","0","","0","354.27","","0","","","","","","","0","","","","354",
"773","관광펜션업","03_11_02_P","5530000","CDFI3261092020000002","2020-02-17","","01","영업/정상","13","영업중","","","","","","","","경기도 화성시 서신면 제부리 217-2","경기도 화성시 서신면 해안길386번길 50-1","18553","제부도전원주택한우물펜션","2021-12-20 16:28:25","U","2021-12-22 02:40:00","","166453.74108866","407719.764927277","관광펜션업","","","2","","","","","2","0","0","0","","","0","0","","0","0","","0","81.15","","0","","","","","","","0","","","","81",
"774","관광펜션업","03_11_02_P","5530000","CDFI3261092020000003","2020-04-16","","01","영업/정상","13","영업중","","","","","","","","경기도 화성시 서신면 제부리 190-150","경기도 화성시 서신면 해안길 266-11","18553","제이하우스","2021-12-20 16:29:13","U","2021-12-22 02:40:00","","166152.644604455","407129.034147258","관광펜션업","","","3","","","","","0","0","0","0","","","0","0","","0","0","","0","207.15","","0","","","","","","","0","","","","207",
"775","관광펜션업","03_11_02_P","5530000","CDFI3261092020000004","2020-05-29","","01","영업/정상","13","영업중","","","","","","","","경기도 화성시 서신면 제부리 190-28","경기도 화성시 서신면 해안길 306-3","18553","여행스케치","2022-02-16 09:45:35","U","2022-02-18 02:40:00","","166045.422777704","407534.600816229","관광펜션업","","","3","","","","","0","0","0","0","","","0","0","","0","0","","0","346.72","","0","","","","","","","0","","","","347",
"776","관광펜션업","03_11_02_P","5530000","CDFI3261092017000007","2017-09-21","","01","영업/정상","13","영업중","","","","","","","","경기도 화성시 서신면 제부리 41-1","경기도 화성시 서신면 해안길 116-7","18553","해송펜션","2021-12-20 16:09:27","U","2021-12-22 02:40:00","","166658.954922352","407290.655345924","관광펜션업","","","3","","","","","0","0","0","0","","","0","0","","0","0","","0","355.56","","0","","","","","","","0","","","","356",
"777","관광펜션업","03_11_02_P","4291000","CDFI3261092024000002","2024-01-03","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 정선군 남면 무릉리 819-101","강원특별자치도 정선군 남면 지장천로 146-51","26147","풀빌라펜션 드위트리 1","2024-01-05 11:58:02","I","2024-01-07 00:16:28","","357991.507574938","416299.225064283","관광펜션업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"778","관광펜션업","03_11_02_P","4810000","CDFI3261092024000001","2024-01-05","","01","영업/정상","13","영업중","","","","","","","","전라남도 여수시 율촌면 상봉리 710-5","전라남도 여수시 율촌면 두언길 27","59603","두언 27","2024-01-05 13:27:36","I","2024-01-07 00:16:28","","249459.108297894","148848.747539204","관광펜션업","","자연녹지지역","1","기타","","","단독주택","1","0","0","0","","","0","0","","0","0","","0","552","","0","","","","","","","0","","","","552",
"779","관광펜션업","03_11_02_P","4430000","CDFI3261092024000001","2024-01-05","","01","영업/정상","13","영업중","","","","","","","","충청북도 옥천군 이원면 지탄리 692","충청북도 옥천군 이원면 지탄길 266","29062","구공스테이 옥천키즈","2024-05-31 09:05:59","U","2024-06-02 02:40:00","","261729.063847139","305043.713841449","관광펜션업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","300000000","","","","0",
"780","관광펜션업","03_11_02_P","5260000","CDFI3261092024000001","2024-01-10","","01","영업/정상","13","영업중","","","","","054-791-2011","","","경상북도 울릉군 울릉읍 도동리 182-15","경상북도 울릉군 울릉읍 도동3길 27","40224","다원펜션","2024-12-11 13:59:33","U","2024-12-14 02:40:00","","545202.155135834","449969.392144028","관광펜션업","","일반상업지역","5","기타","","","숙박시설","4","1","0","0","","","0","0","","0","0","","0","375.96","","0","","","","","","","10000000","","","","376",
"781","관광펜션업","03_11_02_P","5360000","CDFI3261092024000001","2024-01-11","","01","영업/정상","13","영업중","","","","","","","","경상남도 밀양시 산내면 용전리 96-1 가,나,다동","경상남도 밀양시 산내면 산내용전2길 19","50413","스테이 자이언","2024-01-11 17:25:49","I","2024-01-13 00:16:23","","368454.292150776","230534.465836753","관광펜션업","","관리지역","0","기타","","","숙박시설","0","0","0","0","","","0","0","","0","0","","0","215.35","","0","","","","","","","0","","","","215",
"782","관광펜션업","03_11_02_P","4500000","CDFI3261092020000001","2020-02-25","","01","영업/정상","13","영업중","","","","","","","","충청남도 공주시 반포면 학봉리 724번지","충청남도 공주시 반포면 천장이길 6","32626","계룡그린콘도","2020-02-25 17:10:31","I","2020-02-27 00:23:23","","221164.742219764","317524.28619141","관광펜션업","","","3","","","","숙박시설","2","1","","","","","","","","","","","","1754.22","","","","","","","","","3000000000","","","","1754",
"783","관광펜션업","03_11_02_P","4500000","CDFI3261092020000002","2020-02-25","","01","영업/정상","13","영업중","","","","","041-852-1946","","","충청남도 공주시 무릉동 473번지","충청남도 공주시 느랏티길 47-7 (무릉동)","32592","무릉펜션","2020-02-25 17:12:53","I","2020-02-27 00:23:23","","214701.293222963","328141.886137537","관광펜션업","","","2","","","","단독주택","2","","","","","","","","","","","","","177.47","","","","","","","","","","","","","177",
"784","관광펜션업","03_11_02_P","5430000","CDFI3261092020000001","2020-01-21","","01","영업/정상","13","영업중","","","","","","","","경상남도 남해군 서면 서상리 1138번지","경상남도 남해군 서면 남서대로 1462","52410","스테이숨","2020-01-21 13:33:46","I","2020-01-23 00:23:24","","276421.199592161","144432.297390515","관광펜션업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"785","관광펜션업","03_11_02_P","4620000","CDFI3261092020000002","2020-03-24","","01","영업/정상","13","영업중","","","","","","","","충청남도 태안군 원북면 신두리 1233-32번지","충청남도 태안군 원북면 신두해변길 39-4","32108","에벤에셀펜션","2020-03-24 20:07:25","I","2020-03-26 00:23:37","","127092.399066322","370229.140020791","관광펜션업","","","2","","","","","2","","","","","","","","","","","","","","","","","","","","","","2000000000","","","","",
"786","관광펜션업","03_11_02_P","5010000","CDFI3261092020000001","2020-02-26","","01","영업/정상","13","영업중","","","","","","","","전라남도 신안군 비금면 가산리 179-1번지","전라남도 신안군 비금면 서남문로 12, 가산펜션","58844","가산펜션","2020-02-26 08:21:37","I","2020-02-28 00:23:23","","108203.176607186","140826.094144365","관광펜션업","","관리지역","3","기타","","","숙박시설","3","0","","","","","","","","","","","","96.5","","","","","","","","","","","","","97",
"787","관광펜션업","03_11_02_P","4620000","CDFI3261092020000001","2020-03-09","","01","영업/정상","13","영업중","","","","","","","","충청남도 태안군 남면 몽산리 967번지","충청남도 태안군 남면 우운길 56-19","32152","팜카밀레","2020-03-09 18:35:25","I","2020-03-11 00:23:22","","135785.061822473","354304.802561006","관광펜션업","","","2","","","","","2","","","","","","","","","","","","","2314","","","","","","","","","100000000","","","","2314",
"788","관광펜션업","03_11_02_P","4500000","CDFI3261092020000003","2020-03-09","","01","영업/정상","13","영업중","","","","","","","","충청남도 공주시 반포면 학봉리 674-3","충청남도 공주시 반포면 동학사2로 72","32626","봄날처럼민박","2020-09-07 16:45:28","U","2020-09-09 02:40:00","","221917.076610079","317558.22405927","관광펜션업","","","3","","","","단독주택","","","","","","","","","","","","","","456.05","","","","","","","","","","","","","456",
"789","관광펜션업","03_11_02_P","4170000","CDFI3261092020000001","2020-03-25","","01","영업/정상","13","영업중","","","","","","","","경기도 양평군 양서면 양수리 359번지","경기도 양평군 양서면 골용진길19번길 2-6","12578","그린토피아","2020-03-25 17:51:16","I","2020-03-27 00:23:21","","228965.115211204","450610.042360948","관광펜션업","","자연녹지지역","2","","","","농어가주택","2","","","","","","","","","","","","","99.14","","","","","","","","","","","","","99",
"790","관광펜션업","03_11_02_P","4510000","CDFI3261092020000001","2020-03-06","","01","영업/정상","13","영업중","","","","","041-932-9262","","","충청남도 보령시 오천면 영보리 348-2 더반힐","충청남도 보령시 오천면 오천해안로 557, 더반 힐 리조트펜션","33406","더반 힐 리조트펜션","2024-09-06 13:25:18","U","2024-09-08 02:40:00","","155472.713371523","325024.281871121","관광펜션업","","관리지역","3","기타","","","다가구용 주택(공동주택적용)","3","","","","","","","","","","","","","229.14","","","","","","","","","","","","","229",
"791","관광펜션업","03_11_02_P","5330000","CDFI3261092020000001","2020-01-23","","01","영업/정상","13","영업중","","","","","","","","경상남도 통영시 용남면 화삼리 2-5번지","경상남도 통영시 용남면 용남해안로 228-1","53029","풀빌라이유민박","2020-01-23 10:47:06","I","2020-01-25 00:23:24","","332583.495124979","152186.218718896","관광펜션업","","자연녹지지역","3","기타","","","단독주택","3","1","","","","","","","","","","","","111.62","","","","","","","","","50000000","","","","112",
"792","관광펜션업","03_11_02_P","5020000","CDFI3261092020000002","2020-03-04","","01","영업/정상","13","영업중","","","","","","","","경상북도 포항시 남구 호미곶면 구만리 646-5번지","경상북도 포항시 남구 호미곶면 호미로 1504-7","37928","케렌시아","2020-03-04 09:28:51","I","2020-03-06 00:23:23","","429418.823063364","289430.544378468","관광펜션업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"793","관광펜션업","03_11_02_P","5020000","CDFI3261092020000001","2020-01-28","","01","영업/정상","13","영업중","","","","","","","","경상북도 포항시 북구 송라면 지경리 407-39번지","경상북도 포항시 북구 송라면 동해대로3218번길 39","37510","슬로우오션 풀빌라 펜션","2020-01-29 18:40:28","I","2020-01-31 00:23:24","","413200.259784767","308282.637237732","관광펜션업","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"794","관광펜션업","03_11_02_P","3580000","CDFI3261092020000001","2020-01-22","","01","영업/정상","13","영업중","","","","","","","","인천광역시 옹진군 북도면 장봉리 1302-5 음식점","인천광역시 옹진군 북도면 장봉로541번길 142","23111","블루힐펜션","2021-05-11 13:20:45","U","2021-05-13 02:40:00","","141049.425898671","447517.628875898","관광펜션업","","","3","","","","숙박시설","2","","","","","","","","","","","","","625","","","","","","","","","","","","","625",
"795","관광펜션업","03_11_02_P","5530000","CDFI3261092021000002","2021-12-28","","01","영업/정상","13","영업중","","","","","","","","경기도 화성시 서신면 제부리 290-9","경기도 화성시 서신면 해안길 330","18553","바닷길펜션","2025-01-10 10:01:37","U","2025-01-12 02:40:00","","166027.598530948","407734.284834553","관광펜션업","","","3","기타","","","숙박시설","3","0","0","0","","","0","0","","0","0","","0","698.32","","0","","","","","","","0","","","","698",
"796","관광펜션업","03_11_02_P","5190000","CDFI3261092022000001","2022-01-11","","01","영업/정상","13","영업중","","","","","","","","경상북도 청도군 금천면 소천리 500-2","경상북도 청도군 금천면 운용로 158-8","38361","청우힐링","2022-01-12 10:52:48","I","2022-01-14 00:22:40","","372844.113870198","249670.416268898","관광펜션업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","511.84","","0","","","","","","","100000000","","","","512",
"797","관광펜션업","03_11_02_P","4610000","CDFI3261092022000001","2022-01-17","","01","영업/정상","13","영업중","","","","","","","","충청남도 예산군 덕산면 사동리 408","충청남도 예산군 덕산면 온천단지1로 69-5, 온연프라이빗빌라","32406","온연프라이빗빌라","2022-01-17 11:45:25","I","2022-01-19 00:22:40","","168778.499218484","354761.452525466","관광펜션업","","관리지역","2","기타","","","숙박시설","2","0","0","0","","","0","0","","0","0","","0","489.39","","0","","","","","","","0","","","","489",
"798","관광펜션업","03_11_02_P","4450000","CDFI3261092022000001","2022-01-14","","01","영업/정상","13","영업중","","","","","","","","충청북도 진천군 진천읍 원덕리 225-1","충청북도 진천군 진천읍 원동길 131-84","27842","시기공추","2022-01-14 14:31:56","I","2022-01-16 00:22:49","","238380.496477714","369546.413953234","관광펜션업","","주거지역","1","기타","","","단독주택","1","0","0","0","","","0","0","","0","0","","0","154.39","","0","","","","","","","0","","","","154",
"799","관광펜션업","03_11_02_P","4810000","CDFI3261092021000001","2021-12-31","","01","영업/정상","13","영업중","","","","","","","","전라남도 여수시 오천동 348","전라남도 여수시 오천3길 14-2 (오천동)","59621","해아란","2021-12-31 08:58:30","I","2022-01-02 00:22:41","","268993.707395153","144023.360189042","관광펜션업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"800","관광펜션업","03_11_02_P","5430000","CDFI3261092023000004","2023-05-09","","01","영업/정상","13","영업중","","","","","","","","경상남도 남해군 상주면 양아리 1422","경상남도 남해군 상주면 양아로525번길 53","52439","벨루가","2023-05-09 17:48:54","I","2023-05-11 00:19:54","","287351.684942005","137271.825391031","관광펜션업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"801","관광펜션업","03_11_02_P","5430000","CDFI3261092023000001","2023-04-24","","01","영업/정상","13","영업중","","","","","","","","경상남도 남해군 설천면 진목리 산 276","경상남도 남해군 설천면 설천로 176-132","52402","여여담2","2023-04-24 17:37:34","I","2023-04-26 00:20:16","","283112.761302292","154300.628136413","관광펜션업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"802","관광펜션업","03_11_02_P","4170000","CDFI3261092023000001","2023-04-10","","01","영업/정상","13","영업중","","","","","","","","경기도 양평군 단월면 명성리 17-1","경기도 양평군 단월면 통골길 71","12526","일월일지","2023-04-10 14:26:38","I","2023-04-12 00:20:19","","260028.519963864","455595.328162474","관광펜션업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","100000000","","","","0",
"803","관광펜션업","03_11_02_P","5050000","CDFI3261092023000002","2023-05-04","","01","영업/정상","13","영업중","","","","","","","","경상북도 경주시 감포읍 나정리 262-3","경상북도 경주시 감포읍 나정길 25-8","38123","SSD","2023-05-04 15:28:14","I","2023-05-07 00:20:08","","425323.313835289","255827.128990803","관광펜션업","","","0","","","","단독주택","0","0","0","0","","","0","0","","0","0","","0","203.34","","0","","","","","","","0","","","","203",
"804","관광펜션업","03_11_02_P","5050000","CDFI3261092023000003","2023-05-04","","01","영업/정상","13","영업중","","","","","","","","경상북도 경주시 감포읍 나정리 262","경상북도 경주시 감포읍 나정길 25-6","38123","오늘","2023-05-04 15:28:25","I","2023-05-07 00:20:08","","425334.745106114","255804.437965971","관광펜션업","","","0","","","","단독주택","0","0","0","0","","","0","0","","0","0","","0","203.34","","0","","","","","","","0","","","","203",
"805","관광펜션업","03_11_02_P","5220000","CDFI3261092023000001","2023-04-19","","01","영업/정상","13","영업중","","","","","","","","경상북도 칠곡군 동명면 득명리 161","경상북도 칠곡군 동명면 득명1길 86-11","39855","봉만채","2023-04-19 13:09:37","I","2023-04-21 00:20:20","","345440.09354564","280176.609799087","관광펜션업","","관리지역","1","기타","","","단독주택","1","0","0","0","","","0","0","","0","0","","0","458","","0","","","","","","","600000000","","","","458",
"806","관광펜션업","03_11_02_P","5430000","CDFI3261092023000002","2023-04-25","","01","영업/정상","13","영업중","","","","","","","","경상남도 남해군 설천면 진목리 산 276","경상남도 남해군 설천면 설천로 176-132","52402","여여담","2023-04-25 10:58:18","I","2023-04-27 00:20:42","","283112.761302292","154300.628136413","관광펜션업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"807","관광펜션업","03_11_02_P","5050000","CDFI3261092023000004","2023-05-18","","01","영업/정상","13","영업중","","","","","","","","경상북도 경주시 구정동 292-7","경상북도 경주시 새골길 49-91 (구정동)","38128","잼잼풀빌라 키즈펜션","2023-05-18 09:40:13","I","2023-05-20 00:19:47","","408036.886467896","256524.293427241","관광펜션업","","보전녹지지역","2","","","","","0","0","0","0","","","0","0","","0","0","","0","212.07","","0","","","","","","","0","","","","212",
"808","관광펜션업","03_11_02_P","5050000","CDFI3261092023000005","2023-05-18","","01","영업/정상","13","영업중","","","","","","","","경상북도 경주시 구정동 292-14","경상북도 경주시 새골길 49-31 (구정동)","38128","풀빌라, 오롯이","2024-05-30 13:18:50","U","2024-06-01 02:40:00","","408068.807920325","256545.565898986","관광펜션업","","보전녹지지역","1","","","","","0","0","0","0","","","0","0","","0","0","","0","69.16","","0","","","","","","","0","","","","69",
"809","관광펜션업","03_11_02_P","4160000","CDFI3261092023000006","2023-04-21","","01","영업/정상","13","영업중","","","","","","","","경기도 가평군 상면 상동리 54-3","경기도 가평군 상면 돌아우길 110-22","12443","휴우일","2023-04-21 15:59:10","I","2023-04-23 00:20:19","","227994.450865819","475755.122248596","관광펜션업","","관리지역","1","","","","","1","0","0","0","","","0","0","","0","0","","0","196.83","","0","","","","","","","0","","","","197",
"810","관광펜션업","03_11_02_P","5370000","CDFI3261092023000004","2023-05-03","","01","영업/정상","13","영업중","","","","","","","","경상남도 거제시 사등면 덕호리 278","경상남도 거제시 사등면 덕호해안길 147, 카나리아 풀빌라 1~6동","53274","거제 풀빌라 카나리아","2023-07-04 17:16:42","U","2023-07-06 02:40:00","","334639.602096465","153739.998101463","관광펜션업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"811","관광펜션업","03_11_02_P","5350000","CDFI3261092023000001","2023-05-10","","01","영업/정상","13","영업중","","","","","","","","경상남도 김해시 상동면 대감리 880-1","경상남도 김해시 상동면 상동로543번길 47-17, 금동스카이펜션","50805","금동스카이펜션","2024-01-05 15:29:49","U","2024-01-07 02:40:00","","375123.890120922","203135.809392142","관광펜션업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"812","관광펜션업","03_11_02_P","4500000","CDFI3261092023000001","2023-04-05","","01","영업/정상","13","영업중","","","","","","","","충청남도 공주시 반포면 공암리 3-12","충청남도 공주시 반포면 공암막골길 50","32622","베시두즈","2023-04-05 15:35:27","I","2023-04-07 00:20:23","","223187.011579067","322894.560676233","관광펜션업","","관리지역","1","주택가주변","","","단독주택","1","0","0","0","","","0","0","","0","0","","0","124.78","","0","","","","","","","20000000","","","","125",
"813","관광펜션업","03_11_02_P","4990000","CDFI3261092023000001","2023-05-24","","01","영업/정상","13","영업중","","","","","061-552-7203","","","전라남도 완도군 신지면 신리 813-2 모래뜰, 세븐일레븐","전라남도 완도군 신지면 명사십리길 74, 모래뜰","59146","모래뜰 펜션","2025-01-22 09:56:38","U","2025-01-24 02:40:00","","182132.606757954","92241.4792436757","관광펜션업","","","3","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"814","관광펜션업","03_11_02_P","4810000","CDFI3261092023000001","2023-05-24","","01","영업/정상","13","영업중","","","","","","","","전라남도 여수시 화양면 용주리 512","전라남도 여수시 화양면 용주길 89","59659","오로지(orogee)","2023-05-24 15:55:42","I","2023-05-26 00:20:27","","257607.796893468","135033.689109071","관광펜션업","","관리지역","2","기타","","","숙박시설","2","0","0","0","","","0","0","","0","0","","0","150.21","","0","","","","","","","0","","","","150",
"815","관광펜션업","03_11_02_P","4160000","CDFI3261092023000007","2023-05-14","","01","영업/정상","13","영업중","","","","","","","","경기도 가평군 북면 제령리 611-4","경기도 가평군 북면 꽃넘이길 115-82","12405","가둘기정원키즈풀빌라&스파","2023-05-14 16:01:18","I","2023-05-16 00:20:06","","245343.539796113","488749.008481397","관광펜션업","","","3","","","","","2","1","0","0","","","0","0","","0","0","","0","169.53","","0","","","","","","","0","","","","170",
"816","관광펜션업","03_11_02_P","5050000","CDFI3261092023000006","2023-05-22","","01","영업/정상","13","영업중","","","","","","","","경상북도 경주시 서악동 1373-8","경상북도 경주시 장매길 142 (서악동)","38064","호플리","2023-05-22 11:28:30","I","2023-05-24 00:20:33","","398132.509302503","259646.561103633","관광펜션업","","보전녹지지역","2","","","","단독주택","0","0","0","0","","","0","0","","0","0","","0","110.51","","0","","","","","","","0","","","","111",
"817","관광펜션업","03_11_02_P","4880000","CDFI3261092023000002","2023-05-01","","01","영업/정상","13","영업중","","","","","","","","전라남도 고흥군 도덕면 가야리 380-2","전라남도 고흥군 도덕면 대곡길 166","59545","전남고흥녹동바다노을보라펜션","2023-05-01 10:54:10","I","2023-05-03 00:20:01","","215866.655530486","124588.587246351","관광펜션업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","212.97","","0","","","","","","","0","","","","213",
"818","관광펜션업","03_11_02_P","5180000","CDFI3261092023000002","2023-04-12","","01","영업/정상","13","영업중","","","","","","","","경상북도 영덕군 강구면 하저리 107","경상북도 영덕군 강구면 영덕대게로 509-9","36453","딜라이트 107 풀빌라(DELIGHT 107 POOLVILLA)","2024-05-14 10:21:30","U","2024-05-16 02:40:00","","415997.08368416","323832.183306433","관광펜션업","","주거지역","5","기타","","","숙박시설","4","1","0","0","","","0","0","","0","0","","0","2086","","0","","","","","","","261115840","","","","2086",
"819","관광펜션업","03_11_02_P","4430000","CDFI3261092023000001","2023-04-27","","01","영업/정상","13","영업중","","","","","","","","충청북도 옥천군 군서면 금산리 85","충청북도 옥천군 군서면 장령산로 473 (장령산 힐링팬션)","29059","스테이비롯풀빌라 감성독채 펜션","2023-04-27 15:00:51","I","2023-04-29 00:20:04","","249475.149782686","305544.426557925","관광펜션업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
